,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41,G_42,G_43,G_44,G_45,G_46,G_47,G_48,G_49,G_50,G_51
G_10,4070.0,1762.0,1764.0,2640.0,2204.0,1322.0,662.0,671.0,1322.0,1106.0,0.0,237.0,1762.0,1324.0,1320.0,1545.0,19.0,1544.0,1545.0,1322.0,885.0,452.0,665.0,662.0,1109.0,223.0,1543.0,450.0,228.0,226.0,2202.0,1322.0,674.0,224.0,1540.0,235.0,226.0,226.0,1328.0,891.0,452.0,235.0,1760.0,224.0,220.0,454.0,664.0,7.0,450.0,1106.0,114.0,2310.0
G_11,4290.0,1986.0,1982.0,2862.0,2420.0,1550.0,889.0,442.0,1550.0,1328.0,237.0,0.0,1984.0,1548.0,1542.0,1766.0,238.0,1760.0,1760.0,1550.0,1112.0,237.0,882.0,885.0,1323.0,454.0,1760.0,672.0,456.0,456.0,2420.0,1549.0,882.0,20.0,1767.0,4.0,18.0,452.0,1541.0,1103.0,235.0,442.0,1982.0,456.0,457.0,662.0,886.0,232.0,674.0,1328.0,344.0,2090.0
G_12,2310.0,6.0,7.0,884.0,444.0,441.0,1102.0,2424.0,442.0,666.0,1762.0,1984.0,0.0,444.0,446.0,227.0,1762.0,226.0,228.0,444.0,883.0,2204.0,1102.0,1102.0,664.0,1543.0,224.0,1324.0,1542.0,1540.0,440.0,445.0,1104.0,1982.0,225.0,1982.0,1980.0,1540.0,445.0,889.0,2202.0,1544.0,8.0,1542.0,1542.0,1324.0,1104.0,1762.0,1321.0,664.0,1652.0,4070.0
G_13,2750.0,440.0,445.0,1324.0,886.0,7.0,666.0,1986.0,2.0,224.0,1324.0,1548.0,444.0,0.0,12.0,225.0,1322.0,228.0,230.0,2.0,447.0,1765.0,672.0,668.0,231.0,1104.0,228.0,880.0,1102.0,1102.0,882.0,8.0,668.0,1542.0,221.0,1548.0,1542.0,1104.0,12.0,453.0,1763.0,1108.0,446.0,1102.0,1104.0,888.0,666.0,1320.0,885.0,220.0,1212.0,3630.0
G_14,2750.0,448.0,445.0,1323.0,885.0,13.0,664.0,1980.0,12.0,228.0,1320.0,1542.0,446.0,12.0,0.0,231.0,1328.0,225.0,226.0,12.0,451.0,1770.0,662.0,662.0,228.0,1101.0,224.0,886.0,1104.0,1100.0,882.0,12.0,668.0,1540.0,229.0,1542.0,1541.0,1104.0,10.0,449.0,1768.0,1104.0,442.0,1100.0,1102.0,886.0,662.0,1322.0,889.0,230.0,1210.0,3630.0
G_15,2530.0,225.0,228.0,1103.0,665.0,229.0,887.0,2206.0,227.0,447.0,1545.0,1766.0,227.0,225.0,231.0,0.0,1542.0,10.0,10.0,227.0,662.0,1985.0,888.0,887.0,448.0,1325.0,10.0,1101.0,1325.0,1325.0,665.0,226.0,886.0,1765.0,8.0,1766.0,1764.0,1323.0,229.0,670.0,1983.0,1326.0,229.0,1325.0,1325.0,1106.0,885.0,1543.0,1104.0,443.0,1432.0,3850.0
G_16,4070.0,1760.0,1762.0,2642.0,2200.0,1322.0,669.0,672.0,1322.0,1104.0,19.0,238.0,1762.0,1322.0,1328.0,1542.0,0.0,1544.0,1542.0,1322.0,888.0,444.0,672.0,671.0,1101.0,235.0,1542.0,446.0,230.0,230.0,2200.0,1322.0,666.0,234.0,1540.0,238.0,231.0,230.0,1321.0,887.0,442.0,234.0,1764.0,232.0,235.0,450.0,670.0,20.0,448.0,1102.0,123.0,2310.0
G_17,2531.0,230.0,226.0,1103.0,663.0,228.0,884.0,2200.0,230.0,448.0,1544.0,1760.0,226.0,228.0,225.0,10.0,1544.0,0.0,7.0,230.0,665.0,1986.0,882.0,884.0,444.0,1325.0,3.0,1103.0,1325.0,1323.0,661.0,229.0,882.0,1765.0,10.0,1760.0,1763.0,1324.0,225.0,668.0,1984.0,1320.0,225.0,1325.0,1326.0,1100.0,885.0,1543.0,1105.0,446.0,1434.0,3850.0
G_18,2530.0,230.0,226.0,1102.0,664.0,230.0,885.0,2200.0,230.0,448.0,1545.0,1760.0,228.0,230.0,226.0,10.0,1542.0,7.0,0.0,230.0,670.0,1984.0,882.0,885.0,442.0,1326.0,6.0,1104.0,1326.0,1326.0,662.0,227.0,880.0,1766.0,10.0,1760.0,1765.0,1322.0,224.0,661.0,1982.0,1320.0,224.0,1326.0,1325.0,1100.0,884.0,1546.0,1106.0,448.0,1433.0,3850.0
G_19,2750.0,440.0,445.0,1322.0,886.0,7.0,664.0,1988.0,2.0,224.0,1322.0,1550.0,444.0,2.0,12.0,227.0,1322.0,230.0,230.0,0.0,447.0,1763.0,672.0,668.0,231.0,1104.0,228.0,882.0,1102.0,1102.0,882.0,8.0,670.0,1540.0,221.0,1550.0,1542.0,1104.0,12.0,453.0,1761.0,1110.0,444.0,1102.0,1102.0,890.0,666.0,1320.0,885.0,222.0,1212.0,3630.0
G_20,3190.0,885.0,888.0,1761.0,1323.0,447.0,227.0,1550.0,447.0,233.0,885.0,1112.0,883.0,447.0,451.0,662.0,888.0,665.0,670.0,447.0,0.0,1329.0,232.0,231.0,233.0,667.0,666.0,447.0,667.0,665.0,1323.0,447.0,234.0,1105.0,666.0,1110.0,1105.0,667.0,452.0,20.0,1327.0,672.0,887.0,667.0,667.0,452.0,231.0,883.0,444.0,229.0,776.0,3190.0
G_21,4512.0,2203.0,2202.0,3082.0,2642.0,1764.0,1108.0,235.0,1765.0,1545.0,452.0,237.0,2204.0,1765.0,1770.0,1985.0,444.0,1986.0,1984.0,1763.0,1329.0,0.0,1110.0,1110.0,1542.0,673.0,1984.0,887.0,669.0,673.0,2642.0,1764.0,1106.0,233.0,1982.0,239.0,232.0,668.0,1762.0,1326.0,2.0,671.0,2204.0,673.0,670.0,888.0,1111.0,454.0,889.0,1545.0,563.0,1870.0
G_22,3410.0,1108.0,1104.0,1982.0,1542.0,668.0,8.0,1322.0,670.0,452.0,665.0,882.0,1102.0,672.0,662.0,888.0,672.0,882.0,882.0,672.0,232.0,1110.0,0.0,6.0,445.0,447.0,880.0,234.0,450.0,448.0,1540.0,667.0,10.0,886.0,888.0,880.0,884.0,443.0,664.0,229.0,1108.0,444.0,1102.0,448.0,448.0,226.0,6.0,666.0,234.0,454.0,554.0,2970.0
G_23,3410.0,1104.0,1104.0,1982.0,1542.0,668.0,8.0,1327.0,666.0,450.0,662.0,885.0,1102.0,668.0,662.0,887.0,671.0,884.0,885.0,668.0,231.0,1110.0,6.0,0.0,449.0,443.0,883.0,232.0,446.0,446.0,1542.0,666.0,14.0,883.0,884.0,885.0,883.0,444.0,668.0,231.0,1108.0,449.0,1102.0,444.0,444.0,231.0,6.0,663.0,232.0,448.0,552.0,2970.0
G_24,2970.0,667.0,664.0,1542.0,1102.0,230.0,447.0,1761.0,231.0,13.0,1109.0,1323.0,664.0,231.0,228.0,448.0,1101.0,444.0,442.0,231.0,233.0,1542.0,445.0,449.0,0.0,890.0,442.0,668.0,888.0,888.0,1100.0,229.0,441.0,1330.0,447.0,1321.0,1325.0,883.0,221.0,225.0,1540.0,881.0,664.0,888.0,889.0,661.0,448.0,1110.0,670.0,13.0,997.0,3410.0
G_25,3851.0,1542.0,1543.0,2423.0,1985.0,1103.0,445.0,888.0,1102.0,884.0,223.0,454.0,1543.0,1104.0,1101.0,1325.0,235.0,1325.0,1326.0,1104.0,667.0,673.0,447.0,443.0,890.0,0.0,1324.0,228.0,6.0,6.0,1983.0,1103.0,455.0,441.0,1321.0,454.0,441.0,7.0,1109.0,672.0,671.0,18.0,1543.0,4.0,5.0,236.0,444.0,225.0,228.0,886.0,112.0,2530.0
